node_id,account_number,bank_id,out_tx_count,in_tx_count,total_tx_count,total_sent,total_received,total_money_flow,degree_like_count,node_is_laundering_related,risk_score,risk_level,risk_reason
153,10042B660,70,222037,1553,223590,73113736651.54,803053.5,73114539705.04,19727,1,1.0,high,Hesap şüpheli işlem etiketiyle ilişkili. Bu nedenle öncelikli incelenmelidir.
124355,10042B6A8,70,138777,951,139728,37451441299.46,414927.18,37451856226.64,12355,1,1.0,high,Hesap şüpheli işlem etiketiyle ilişkili. Bu nedenle öncelikli incelenmelidir.
202278,10042B6F0,70,42385,345,42730,105904323562.01,1421533.45,105905745095.45999,3787,1,1.0,high,Hesap şüpheli işlem etiketiyle ilişkili. Bu nedenle öncelikli incelenmelidir.
225631,10042B738,70,18213,135,18348,924295797491.38,6197232.29,924301994723.67,1630,1,1.0,high,Hesap şüpheli işlem etiketiyle ilişkili. Bu nedenle öncelikli incelenmelidir.
236137,10042B780,70,30802,223,31025,729181092474.44,6788354.42,729187880828.86,2738,1,1.0,high,Hesap şüpheli işlem etiketiyle ilişkili. Bu nedenle öncelikli incelenmelidir.
252663,10042B7C8,70,7670,57,7727,110599990924.55,1803870.21,110601794794.76001,678,1,1.0,high,Hesap şüpheli işlem etiketiyle ilişkili. Bu nedenle öncelikli incelenmelidir.
257278,10042B810,70,8145,68,8213,1032663524.1,63584.119999999995,1032727108.22,749,1,1.0,high,Hesap şüpheli işlem etiketiyle ilişkili. Bu nedenle öncelikli incelenmelidir.
261726,10042B858,70,15684,130,15814,6038722651.91,256191.05000000002,6038978842.96,1404,1,1.0,high,Hesap şüpheli işlem etiketiyle ilişkili. Bu nedenle öncelikli incelenmelidir.
269966,10042B8A0,70,19254,160,19414,9356174980.56,137820.22,9356312800.779999,1718,1,1.0,high,Hesap şüpheli işlem etiketiyle ilişkili. Bu nedenle öncelikli incelenmelidir.
280129,10042B8E8,70,7737,64,7801,38775894015.33,2323487.92,38778217503.25,694,1,1.0,high,Hesap şüpheli işlem etiketiyle ilişkili. Bu nedenle öncelikli incelenmelidir.
284030,10042B930,70,19445,131,19576,28700687549.95,281817.95,28700969367.9,1661,1,1.0,high,Hesap şüpheli işlem etiketiyle ilişkili. Bu nedenle öncelikli incelenmelidir.
293629,10042B978,70,12227,74,12301,4145527129.87,27540.04,4145554669.91,1079,1,1.0,high,Hesap şüpheli işlem etiketiyle ilişkili. Bu nedenle öncelikli incelenmelidir.
299937,10042B9C0,70,16266,96,16362,27437702244.66,162719.0,27437864963.66,1419,1,1.0,high,Hesap şüpheli işlem etiketiyle ilişkili. Bu nedenle öncelikli incelenmelidir.
308395,10042BA08,70,22417,170,22587,23318839990.63,353520.13,23319193510.760002,2014,1,1.0,high,Hesap şüpheli işlem etiketiyle ilişkili. Bu nedenle öncelikli incelenmelidir.
321066,10042BA51,70,28932,84,29016,762910.661893,3.8529459999999998,762914.5148390001,2516,1,1.0,high,Hesap şüpheli işlem etiketiyle ilişkili. Bu nedenle öncelikli incelenmelidir.
489839,808283270,21130,22,91,113,48981.36,9129985.799999999,9178967.159999998,92,0,0.9999999999999956,high,"Hesapta yüksek işlem yoğunluğu, yüksek para akışı ve çok sayıda bağlantı tespit edildi."
